"miRNAs"	"n_geneset"	"hyper_pval"	"OR"	"rFDRc_q"
"dme-miR-965-5p"	4	0.0152351515887352	4.77263198017915	0.124912246344032
"dme-miR-4979-5p"	10	0.0182324146476374	2.749343832021	0.144500800553228
"dme-miR-9379-5p"	4	0.0206362990438384	4.33489827856025	0.153199730879994
"dme-miR-957-5p"	9	0.0209165148076325	2.75188365165586	0.154727393641344
"dme-miR-971-5p"	4	0.021062449810573	4.30654916191464	0.15590260430227
"dme-miR-288-3p"	5	0.0217025401578616	3.61472377997852	0.157266097059682
"dme-miR-4974-3p"	11	0.0217969850772623	2.61290322580645	0.158788935222443
"dme-miR-1002-5p"	6	0.0235572424828247	3.17301444043321	0.159812948882109
"dme-miR-985-3p"	9	0.0237175086055666	2.68269230769231	0.162547762708548
"dme-miR-4947-5p"	3	0.0256701331791982	5.24433145527003	0.169026509280466
"dme-miR-4983-3p"	7	0.0261614560309549	2.87314764245403	0.169522879813683
"dme-miR-991-3p"	7	0.0272448926248074	2.84600938967136	0.173117696249913
"dme-miR-1016-5p"	6	0.0292849803323986	3.00231958762887	0.178996942705197
"dme-miR-2280-3p"	8	0.0293221653382268	2.66033664220975	0.182854042860879
"dme-miR-iab-8-5p"	4	0.0321380089992515	3.75049264817341	0.192304374996496
"dme-miR-9371-3p"	6	0.032857175468284	2.91415662650602	0.193185099271274
"dme-miR-9383-3p"	3	0.0338696922727331	4.68766177739431	0.197057600921225
"dme-miR-4982-5p"	6	0.0377488746968649	2.80970511989631	0.214357376793615
"dme-miR-4961-3p"	9	0.0392782608238343	2.41135293034027	0.220774441208612
"dme-miR-1000-5p"	7	0.0446584392641311	2.52511415525114	0.241260832135624
"dme-miR-7-3p"	11	0.0447546955688746	2.26701570680628	0.244765274921579
"dme-miR-4977-5p"	9	0.047215068870006	2.31465286453686	0.247709752660534
"dme-miR-4972-3p"	5	0.0475022765366073	2.8806085861033	0.251217072572134
"dme-miR-1000-3p"	4	0.0513286631390208	3.19561815336463	0.263520733594588
"dme-miR-219-3p"	3	0.0529077823346958	3.89113193943764	0.267292740302403
