miRNAs	n_geneset	hyper_pval	OR
dme-miR-4943-5p	16	0.34298406346230587	1.2779349169298366
dme-miR-9372-5p	1	0.9129017676403913	0.4063373083475298
dme-miR-2283-5p	19	1.2364561520364222e-05	6.060922295868002
dme-miR-289-5p	16	0.002823276295613906	3.225046040515654
dme-miR-972-5p	15	0.00854549650363672	2.7600100730294637
dme-miR-4974-3p	10	0.15690088761334586	1.6317530319735392
dme-miR-210-5p	8	0.0038588699922582057	3.8303148963941918
dme-miR-1013-3p	8	0.0296532186984731	2.5660117200965185
dme-miR-4949-5p	1	0.5788634738793523	1.1842990654205607
dme-miR-279-3p	0		
dme-miR-286-3p	0		
dme-miR-996-3p	0		
dme-miR-978-5p	2	0.336290356239349	1.7361111111111112
dme-miR-283-3p	3	0.4567567108511735	1.2387123745819397
dme-miR-9374-3p	1	0.26149627508596757	3.4301986754966887
dme-miR-989-3p	2	0.31040508563445135	1.84882005899705
dme-miR-210-3p.1	3	0.27395382093606746	1.7308894572321682
dme-miR-210-3p.2	2	0.3677688360187484	1.6144375324002074
dme-miR-955-5p	1	0.4760689644923637	1.592398753894081
dme-miR-307a-3p	0		
dme-miR-1-3p	1	0.7686971752358069	0.6908228730822873
dme-miR-9378-3p	1	0.29906210274154593	2.92045197740113
dme-miR-4967-3p	2	0.9264216033085824	0.4565611605670953
dme-miR-4984-5p	1	0.6959892093174261	0.85419795221843
dme-miR-4961-3p	7	0.3577334433067632	1.2816014394961763
dme-miR-975-3p	3	0.0618888904076136	3.5922136970730323
dme-miR-4939-3p	1	0.39497144238117227	2.056
dme-miR-973-3p	6	0.0013180900137273557	5.888976377952756
dme-miR-2280-5p	3	0.1192167278197674	2.670705630791162
dme-miR-318-5p	1	0.6427420513733082	0.991496062992126
dme-miR-4-5p	5	0.25716199187691446	1.5575568166241742
dme-miR-iab-8-3p	1	0.8053586985398749	0.615819774718398
dme-miR-991-3p	6	0.15048640997669016	1.8277747698971305
dme-miR-9374-5p	1	0.7271540561198602	0.7813166144200627
dme-miR-263a-3p	2	0.24128136748140627	2.2295197740112993
dme-miR-972-3p	3	0.6059565093366398	0.9762333858977247
dme-miR-4969-5p	3	0.36078952973026573	1.4605295117804227
dme-miR-1003-5p	1	0.6915411825186737	0.8650086355785838
dme-miR-4986-5p	2	0.3987479409795738	1.5080174927113703
dme-miR-1008-5p	15	0.00534935553946569	2.951251646903821
dme-miR-2279-5p	16	0.0017721338300142118	3.4215620507906084
dme-miR-959-3p	2	0.3901606698559571	1.5363501483679525
dme-miR-9388-5p	7	0.36274936150094605	1.2737415160903278
dme-let-7-3p	8	0.06505657313378933	2.1409117821195975
dme-miR-1012-3p	0		
dme-miR-4-3p	2	0.7262841906157085	0.7865205843293492
dme-miR-1017-3p	0		
dme-miR-3641-5p	3	0.23863497300441672	1.8727254192364544
