miRNAs	n_geneset	hyper_pval	OR
dme-miR-193-5p	2	0.41079814279685267	1.4787951807228916
dme-miR-2492-3p	8	0.18158814962940545	1.653170359052712
dme-miR-4975-5p	8	0.005841373732223003	3.690381331815595
dme-miR-4953-3p	11	0.09172048644837572	1.930232558139535
dme-miR-2499-3p	1	0.5146911899954456	1.4275582573454915
dme-miR-10-3p	2	0.8196252139844237	0.6374226223972989
dme-miR-1006-3p	2	0.8149115404933193	0.644968732234224
dme-miR-277-3p	4	0.4670333702929856	1.1845410628019324
dme-miR-970-3p	2	0.24547568058898478	2.21929203539823
dme-miR-987-5p	5	0.16049451062237574	1.913280776228017
dme-miR-2498-5p	4	0.005775287942213206	6.411035180966844
dme-miR-1014-3p	8	0.011914736091289008	3.214213491261014
dme-miR-4983-3p	7	0.026161456030954863	2.8731476424540325
dme-miR-9369-3p	7	0.1596749439153877	1.7627172195892575
dme-miR-4958-5p	1	0.605534217566091	1.1036724652960814
dme-miR-4973-5p	1	0.5053526738084259	1.4669440591770688
dme-miR-9381-3p	0		
dme-miR-124-3p	0		
dme-miR-79-3p	1	0.8562903875083459	0.5165762507534659
dme-miR-9a-3p	1	0.8565534386485225	0.516066589237321
dme-miR-4943-5p	15	0.16540468898344154	1.712167568839727
dme-miR-9372-5p	1	0.8731681535653696	0.4838971363673238
dme-miR-2283-5p	17	1.0455688803234347e-05	7.590034533793784
dme-miR-289-5p	16	0.00017268898508354303	5.377532228360957
dme-miR-972-5p	15	0.0008056661852068916	4.339137316976652
dme-miR-4974-3p	11	0.02179698507726232	2.6129032258064515
dme-miR-210-5p	3	0.4072107832392732	1.3556770492434451
dme-miR-1013-3p	5	0.21745238490406066	1.6956178444532175
dme-miR-4949-5p	0		
dme-miR-279-3p	1	0.4653326681928051	1.652653431944985
dme-miR-286-3p	1	0.4671751199435556	1.6434378629500581
dme-miR-996-3p	1	0.4816981118077944	1.5731601731601732
dme-miR-978-5p	3	0.07740242858898566	3.29628327914946
dme-miR-283-3p	4	0.1516585771904127	2.1129822685556445
dme-miR-9374-3p	0		
dme-miR-989-3p	0		
dme-miR-210-3p.1	1	0.7984693793387256	0.6306418219461698
dme-miR-210-3p.2	5	0.0036971595515703187	5.727941176470588
dme-miR-955-5p	0		
dme-miR-307a-3p	1	0.4417827539229757	1.7769423558897244
dme-miR-1-3p	1	0.7102097958050317	0.8226738394102411
dme-miR-9378-3p	1	0.25964295806196325	3.477804681194512
dme-miR-4967-3p	6	0.11068294891978117	2.0600842418235876
dme-miR-4984-5p	0		
dme-miR-4961-3p	9	0.03927826082383426	2.4113529303402723
dme-miR-975-3p	0		
dme-miR-4939-3p	0		
dme-miR-973-3p	1	0.6679202565350422	0.9273809523809524
dme-miR-2280-5p	2	0.2744992322837621	2.0446808510638297
dme-miR-318-5p	2	0.2092347183581374	2.4846153846153847
dme-miR-4-5p	5	0.15799576171344332	1.9247180737580005
dme-miR-iab-8-3p	1	0.7495747134857941	0.7333571726562965
dme-miR-991-3p	7	0.027244892624807355	2.8460093896713614
dme-miR-9374-5p	1	0.666746972122715	0.9304373787132408
dme-miR-263a-3p	1	0.5550588494322507	1.2716198530152019
dme-miR-972-3p	9	0.0005072160656604693	5.206261878563569
dme-miR-4969-5p	4	0.10088133315749209	2.491664077870974
dme-miR-1003-5p	4	0.014632341465989285	4.833333333333333
dme-miR-4986-5p	3	0.10544218016431162	2.862620053784095
dme-miR-1008-5p	14	0.0020006151378700447	3.787792803670611
dme-miR-2279-5p	15	0.0005180604616852011	4.582891360136869
dme-miR-959-3p	1	0.6878254648010609	0.8768253968253968
dme-miR-9388-5p	7	0.20709583383597444	1.6140410570488828
dme-let-7-3p	6	0.1644880349083144	1.8051242236024845
dme-miR-1012-3p	1	0.6027639485589085	1.112232253496194
dme-miR-4-3p	1	0.8910097407272799	0.4491962390051562
dme-miR-1017-3p	0		
dme-miR-3641-5p	3	0.1699448564973683	2.2677238230394274
dme-miR-9c-3p	3	0.2785054019891975	1.72992700729927
dme-miR-4948-3p	0		
dme-miR-1006-5p	4	0.10460650337866392	2.4567106204640705
dme-miR-9382-5p	2	0.1852852477496891	2.7
dme-miR-3644-5p	2	0.34129247915568883	1.7276150627615063
dme-miR-4914-5p	2	0.34629086725003855	1.707448275862069
dme-miR-4910-5p	11	0.004662987082663585	3.403225806451613
dme-miR-3642-5p	3	0.11536397389805528	2.7440023621466008
dme-miR-3643-5p	2	0.6140735029007155	0.9865671641791045
dme-miR-2279-3p	0		
dme-miR-4909-3p	11	0.0007253127527065142	4.480552070263488
dme-miR-303-3p	6	0.17031212143680613	1.783102766798419
dme-miR-3645-5p	2	0.32750318664903943	1.7854676258992805
dme-miR-190-5p	0		
dme-miR-965-3p	2	0.14195325017469	3.21746835443038
dme-miR-7-5p	1	0.5393122285334446	1.3298643960895618
dme-miR-9a-5p	2	0.5370195934063895	1.1456273764258555
dme-miR-9b-5p	2	0.5220292443216766	1.1796875
dme-miR-9c-5p	3	0.2542960888826456	1.823956442831216
