miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-miR-2279-5p	14	4.989623243933589	0.000531901222653355	0.0421551191452001
dme-miR-2280-3p	7	2.5060065042808786	0.0496881264548184	0.300944347151187
dme-miR-2280-5p	2	2.272231314784506	0.238335773319738	0.532636396260112
dme-miR-2281-3p	2	1.6245530393325387	0.370295387454484	0.629310839038694
dme-miR-2281-5p	2	1.019496204278813	0.59962420806247	0.698834096813451
dme-miR-2282-3p	1	1.772208298524088	0.443645036047207	0.647901959880844
dme-miR-2283-5p	15	6.693786982248521	6.57418488421223e-05	0.0211165325427307
dme-miR-2489-3p	5	1.7519490851233095	0.206645864368759	0.520444703241188
dme-miR-2489-5p	2	1.0623153370937417	0.576751272491666	0.693296272469673
dme-miR-2490-3p	2	1.9341448189762795	0.297403543528689	0.572674116841926
dme-miR-2491-3p	1	0.4948203842940685	0.867451491261202	0.744895590163007
dme-miR-2491-5p	6	4.2994227994228	0.00712364944389778	0.0932088766097507
dme-miR-2492-3p	7	1.5574924036462499	0.23670167901931	0.532552206011808
dme-miR-2492-5p	1	0.9692787524366472	0.652469513485719	0.716253358208464
dme-miR-2493-3p	2	1.7023661270236612	0.349970201968003	0.611965280520547
dme-miR-2493-5p	1	2.1371762740183793	0.386111398262206	0.634712455370072
dme-miR-2496-5p	3	3.578113063407181	0.0658391706244723	0.335688352029512
dme-miR-2497-3p	1	0.5660136889308472	0.831083188814523	0.741735592907322
dme-miR-2497-5p	2	1.582170542635659	0.380384853421276	0.633804190392845
dme-miR-2498-3p	1	1.3297120556903281	0.540088658206772	0.676543791908198
dme-miR-2498-5p	4	7.2135535307517085	0.00412559319693135	0.0845920425211507
dme-miR-2499-3p	1	1.5780763966654223	0.481563167999859	0.655647937670933
dme-miR-2499-5p	2	2.974105461393597	0.161996649950563	0.471931280573441
dme-miR-2500-3p	8	3.220047449584816	0.0135089767975935	0.135955584082486
dme-miR-2500-5p	1	1.0268511654723664	0.632441011638348	0.711342839887255
dme-miR-2501-3p	1	1.1835502735332957	0.581800883584384	0.694420070336996
dme-miR-2501-5p	4	1.431118522319138	0.347339129852216	0.609487417958963
dme-miR-252-5p	5	2.658904109589041	0.0638002922683757	0.334895806747168
dme-miR-263a-3p	1	1.405697118059419	0.520055270808534	0.668946700548513
dme-miR-263a-5p	1	1.253787878787879	0.562110086099525	0.688620573372062
dme-miR-263b-3p	2	1.582170542635659	0.380943808248641	0.634296602019211
dme-miR-263b-5p	2	1.3824501424501425	0.444443681107063	0.647980638815188
dme-miR-274-3p	5	1.6336485066786732	0.242837771351999	0.536230869533771
dme-miR-274-5p	2	1.4997541789577187	0.405358478465534	0.641337135638473
dme-miR-275-5p	1	2.620971032231742	0.329225478430694	0.592421480348512
dme-miR-276a-3p	1	1.6805078021687385	0.459965547147353	0.648782929537818
dme-miR-276a-5p	1	3.5214071448050177	0.25824904262053	0.545057708320285
dme-miR-276b-3p	1	1.6805078021687385	0.459965547147353	0.648782929537818
dme-miR-276b-5p	1	3.5214071448050177	0.25824904262053	0.545057708320285
dme-miR-277-3p	4	1.3328502415458938	0.391397658655304	0.636750453524131
dme-miR-277-5p	1	1.8016411997736277	0.4383945844556	0.647770859139132
dme-miR-279-3p	1	1.8269037716908074	0.433983283988819	0.64672567005881
dme-miR-279-5p	1	0.6749944481456807	0.777835695095206	0.735174773254907
dme-miR-280-5p	6	1.4550158091405576	0.295770520186302	0.571718094525283
dme-miR-281-1-5p	1	1.3380730050933787	0.53717172062609	0.672842711487927
dme-miR-281-3p	1	1.9238425576836073	0.418737342732384	0.645869015634401
dme-miR-282-3p	2	5.2035685320356855	0.0653872771687625	0.335632042407071
dme-miR-283-3p	3	1.6767533936651584	0.295741614517753	0.570369899734856
dme-miR-283-5p	4	1.991108071135431	0.176988190019242	0.496054863737733
dme-miR-284-3p	1	1.0818905817174516	0.613173782221917	0.702061829103437
dme-miR-284-5p	1	1.3352748067351476	0.537902598278485	0.674121083482423
dme-miR-286-3p	1	1.8167165882185137	0.435751739755126	0.647393938898079
dme-miR-287-3p	3	2.043129727898837	0.209557283948604	0.523461629728313
dme-miR-288-3p	4	3.0696555217831816	0.0596578731450768	0.329476724702787
dme-miR-289-5p	15	6.0490218642117375	0.000159193597806826	0.025200634473043
dme-miR-2a-1-5p	2	1.5512430238457635	0.390419328425742	0.636552172123029
dme-miR-2a-2-5p	1	1.2513182767883793	0.562110086099525	0.688620573372062
dme-miR-2b-1-5p	5	3.620211161387632	0.0225616526886566	0.176432048509144
dme-miR-2b-2-5p	5	3.638181818181818	0.0220881379074248	0.172156718272182
dme-miR-2c-5p	2	1.4665944384254244	0.416876764565854	0.644822207744324
dme-miR-3-5p	4	5.060372771474879	0.0132158873966372	0.133239663292669
dme-miR-303-3p	5	1.5844307872402692	0.26014948540296	0.548091357185609
dme-miR-303-5p	1	0.6269639616282084	0.800019736327802	0.736013047310653
dme-miR-304-3p	1	0.5956667985753858	0.815869348131449	0.739313737812896
dme-miR-304-5p	1	1.013503619946311	0.637113371373484	0.713327302557352
dme-miR-307a-3p	1	1.964296706678978	0.41417951464324	0.644327581508856
dme-miR-309-5p	1	0.7989603638726446	0.721787274874011	0.727383688660746
dme-miR-310-3p	7	4.873407267579046	0.00235218125474991	0.0540656849618506
dme-miR-310-5p	1	1.490521606028494	0.502338572115047	0.660949756859838
dme-miR-311-3p	7	4.795685795685796	0.00255580745111731	0.062861887494161
dme-miR-312-3p	7	4.767611336032389	0.00263422844549648	0.0695867280020937
dme-miR-313-3p	7	4.779606979305547	0.0026003910844595	0.0674362549763347
dme-miR-314-3p	2	1.6142706687730384	0.372542011224445	0.629759576137053
dme-miR-314-5p	2	0.8400464474925612	0.696106392250616	0.722853932773089
dme-miR-315-3p	2	1.0107858243451464	0.604009284016628	0.700993633259856
dme-miR-315-5p	6	1.7095546250475828	0.19728777436456	0.518895138502337
dme-miR-316-3p	1	1.6805078021687385	0.460811797158797	0.649154413532102
dme-miR-318-5p	2	2.7611220688143767	0.181048844253452	0.497499163100155
dme-miR-31a-3p	2	3.09642682329907	0.151306153357369	0.461242893243632
dme-miR-31a-5p	1	1.487077067669173	0.503121612678707	0.662242967147182
dme-miR-31b-3p	1	1.5079780900214337	0.49603190792578	0.659549638651462
dme-miR-31b-5p	1	1.525834035890642	0.4944434195942	0.658394630700363
dme-miR-33-3p	4	1.1671712802768166	0.480464410669842	0.655091407747946
dme-miR-33-5p	9	5.179072605247102	0.000671279524393383	0.0430896647242884
dme-miR-34-5p	4	6.075289575289576	0.00728601409330467	0.096178039418162
dme-miR-3641-3p	3	2.3847957787766267	0.156323357598131	0.464677854125884
dme-miR-3641-5p	3	2.534928625612027	0.137643836879699	0.439441771259486
dme-miR-3642-3p	1	0.6183698545975834	0.804260939933144	0.736846031185979
dme-miR-3642-5p	3	3.067321178120617	0.0921107304316448	0.354958737052937
dme-miR-3643-3p	1	1.1617865085248331	0.588393568664897	0.69664313943282
dme-miR-3643-5p	2	1.0963700018426386	0.561034533187192	0.686375988031316
dme-miR-3644-3p	8	4.363461907503359	0.00270048315916125	0.0730499350105288
dme-miR-3644-5p	2	1.919882225321556	0.299700343069491	0.572746518429873
dme-miR-3645-3p	3	1.6977786252264278	0.288868011435387	0.568482739349373
dme-miR-3645-5p	2	1.9841726618705036	0.287063409460259	0.56692920731806
dme-miR-375-3p	4	2.041258741258741	0.168142326202496	0.48145873901426
dme-miR-375-5p	4	6.161937377690802	0.00690481901016083	0.0905924608145159
dme-miR-4-3p	1	0.49656386188400936	0.867228326838749	0.744047697689905
dme-miR-4-5p	5	2.1817309537516794	0.115067530788537	0.413671598168361
dme-miR-4908-3p	1	0.9662598149731789	0.653582099850729	0.717215481257385
dme-miR-4909-3p	10	4.479096989966555	0.00128012506680564	0.0506234625118317
dme-miR-4910-5p	10	3.4024185421565334	0.00697763119546598	0.0911226679163728
dme-miR-4911-3p	10	3.979483282674772	0.0027128208562619	0.0757495297478338
dme-miR-4912-5p	2	2.2338522096976203	0.245186646881278	0.538683841359229
dme-miR-4913-3p	1	1.0545746388443018	0.62171836992354	0.707204957507396
dme-miR-4914-5p	2	1.897471264367816	0.304292271834494	0.574182563739457
dme-miR-4915-5p	2	1.7825458748735732	0.330625569565558	0.594057547804395
dme-miR-4916-3p	4	1.3436284046692606	0.386575433212679	0.634925537382331
dme-miR-4917-3p	1	1.2738866396761133	0.555118256647957	0.680365957309609
dme-miR-4919-5p	1	1.9525703794369644	0.413263883995921	0.643743406550352
dme-miR-4940-5p	1	1.9584164492864815	0.41234689389688	0.643508957883931
dme-miR-4941-3p	1	1.8116642958748221	0.436633997990367	0.647702022239769
dme-miR-4942-3p	1	1.4600646352723916	0.507795332311063	0.664956778454399
dme-miR-4943-5p	15	2.397858319604613	0.0616633936165187	0.332378121911465
dme-miR-4944-3p	4	1.8224225173940545	0.217352209645832	0.528149026244739
dme-miR-4944-5p	2	1.2127272727272727	0.509706579809555	0.666297395819688
dme-miR-4945-5p	4	1.9084321475625823	0.195197742758106	0.516936486886184
dme-miR-4946-5p	5	1.263401559454191	0.411162828969231	0.642961659334468
dme-miR-4947-5p	3	5.862233143910306	0.0199669308987871	0.163661486058066
