miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-miR-282-5p	1	2.887374301675978	0.301182463789586	0.772024151485454
dme-miR-970-3p	2	1.84882005899705	0.309994261327771	0.772797750233039
dme-miR-989-3p	2	1.84882005899705	0.309994261327771	0.772797750233039
dme-miR-4950-3p	3	1.600766486057883	0.311218380235376	0.772956321537335
dme-miR-3643-3p	2	1.8420047031158142	0.312213766156532	0.774008148577689
dme-miR-975-5p	3	1.5799712756234496	0.317890753861655	0.775306797546292
dme-miR-971-3p	3	1.581685109349133	0.318447184595763	0.776304378922009
dme-miR-276a-5p	1	2.675025906735751	0.321895293848241	0.776942155183571
dme-miR-276b-5p	1	2.675025906735751	0.321895293848241	0.776942155183571
dme-miR-283-5p	4	1.4473324213406293	0.328661591629126	0.777109914305519
dme-miR-3642-3p	3	1.5349605898804983	0.33293056853758	0.777815743593827
dme-miR-9377-3p	3	1.531720521062426	0.334045651364529	0.778088128229542
dme-miR-125-3p	3	1.5301052097857777	0.334603228410056	0.780147864368262
dme-miR-978-5p	2	1.7361111111111112	0.335811818167674	0.780752021885514
dme-miR-1007-5p	2	1.7300664451827243	0.337281107400716	0.781200118380598
dme-miR-287-3p	3	1.5093883000917967	0.342411130525334	0.7812509411059
dme-miR-9c-5p	3	1.5062468765617192	0.343526721428108	0.781646245492698
dme-miR-4943-5p	16	1.2779349169298366	0.343556737964199	0.782132169371644
dme-miR-2501-5p	5	1.3630585704507676	0.343946051367497	0.783158274191604
dme-miR-9371-3p	4	1.4103062712688381	0.34648820048308	0.783552565718469
dme-miR-9a-5p	3	1.4953460472427915	0.347431369039995	0.783848164234335
dme-miR-3-5p	2	1.6802638664512655	0.35119912807751	0.784156533386466
dme-miR-4913-3p	2	1.6717577706323687	0.35119912807751	0.784156533386466
dme-miR-4985-5p	3	1.4830644168000986	0.352451339476156	0.788031088783656
dme-miR-285-3p	1	2.385925925925926	0.352512750397851	0.788537476534223
dme-miR-995-3p	1	2.374746543778802	0.352512750397851	0.788537476534223
dme-miR-4945-5p	4	1.3872320038327943	0.355901654044933	0.7900490685909
dme-miR-956-3p	2	1.6549893842887473	0.357035499590825	0.791950557345104
dme-miR-966-3p	1	2.341818181818182	0.357700004212669	0.792526562577456
dme-miR-4961-3p	7	1.2816014394961763	0.357718857829397	0.794671273265624
dme-miR-4969-5p	3	1.4605295117804227	0.35914285558022	0.795765150849616
dme-miR-969-3p	2	1.6494708994708995	0.359220178720753	0.796923995797493
dme-miR-313-5p	2	1.6467247754886423	0.359947910207058	0.797099444420796
dme-miR-314-5p	4	1.375943873000773	0.361085459837736	0.798040322562088
dme-miR-9388-5p	7	1.2737415160903278	0.36236329015999	0.798394122011511
dme-miR-983-5p	3	1.4502272453042673	0.364159156342294	0.80283710175077
dme-miR-998-3p	1	2.2683700440528636	0.365406031943472	0.805631447925496
dme-miR-210-3p.2	2	1.6144375324002074	0.367936025747918	0.805878442801896
dme-let-7-5p	1	2.2482096069868995	0.367954894806712	0.806139618311513
dme-miR-4982-5p	4	1.3598117093262725	0.369574963923417	0.806906646423758
