miRNAs	n_geneset	hyper_pval	OR
dme-miR-4909-3p	10	0.0012698053938802925	4.479096989966555
dme-miR-303-3p	5	0.25992245133943087	1.5844307872402692
dme-miR-3645-5p	2	0.28758721332973614	1.9841726618705036
dme-miR-190-5p	0		
dme-miR-965-3p	2	0.121349878216377	3.5755274261603374
dme-miR-7-5p	1	0.5056553545785969	1.470082490995701
dme-miR-9a-5p	2	0.48530173277403915	1.273130544993663
dme-miR-9b-5p	2	0.47075855692550517	1.3109809027777777
dme-miR-9c-5p	3	0.2107122553511705	2.0388776200135226
dme-miR-137-3p	6	0.022413867326655686	3.269162042697263
dme-miR-315-5p	6	0.19759245135992481	1.7095546250475828
dme-bantam-3p	1	0.38790033520327677	2.1233604516021916
dme-miR-968-5p	0		
dme-miR-1002-5p	6	0.01469660991879841	3.6269210933470863
dme-miR-iab-4-5p	1	0.6993683674160638	0.850234224304216
dme-miR-971-3p	3	0.19236824971232225	2.1409878580690793
dme-miR-999-3p	3	0.12873062495876755	2.6235578977353655
dme-miR-960-5p	2	0.3060132686308443	1.8919455907076266
dme-miR-12-5p	2	0.30773888094937896	1.8837138508371385
dme-miR-281-2-5p	0		
dme-miR-124-5p	0		
dme-miR-285-5p	0		
dme-miR-2493-5p	1	0.3859844565095787	2.1371762740183793
dme-miR-2493-3p	2	0.34952111469548025	1.7023661270236612
dme-miR-4985-3p	1	0.23557824411519296	3.91167574107683
dme-miR-1001-3p	1	0.698393280648588	0.8526039508219367
dme-miR-9383-3p	3	0.026303525534933602	5.239977958396473
dme-miR-961-3p	5	0.2544004186718022	1.5997050147492626
dme-miR-9377-3p	1	0.8054939864556947	0.6170669391926418
dme-miR-961-5p	3	0.12907373418773063	2.620172131730564
dme-miR-4977-5p	8	0.06811482221706497	2.228407333775127
dme-miR-957-5p	8	0.03325100511362614	2.6492093611638206
dme-miR-1000-3p	3	0.1381165853176104	2.534928625612027
dme-miR-4982-5p	5	0.07794115594387287	2.4961139896373057
dme-miR-1002-3p	3	0.17185354213840806	2.2709617180205415
dme-miR-6-1-5p	1	0.6221468341599586	1.056354713149433
dme-miR-31a-3p	2	0.1519697577067407	3.09642682329907
dme-miR-31b-3p	1	0.4969952897315357	1.5079780900214337
dme-miR-4955-3p	2	0.11484591853946435	3.7009889470622457
dme-miR-1-5p	1	0.501736669065512	1.487077067669173
dme-miR-979-5p	1	0.5118644149620195	1.4436579518209842
dme-miR-309-5p	1	0.7209860553716387	0.7989603638726446
dme-miR-981-5p	2	0.4904429866705267	1.2600962544465368
