miRNAs	n_geneset	hyper_pval	OR
dme-miR-iab-4-5p	0		
dme-miR-971-3p	0		
dme-miR-999-3p	1	0.4067036103046703	2.1204278812974464
dme-miR-960-5p	1	0.366977552206848	2.431318681318681
dme-miR-12-5p	1	0.36820236150703445	2.420754348250928
dme-miR-281-2-5p	1	0.220838181925382	4.518834399431414
dme-miR-124-5p	1	0.220838181925382	4.518834399431414
dme-miR-285-5p	0		
dme-miR-2493-5p	0		
dme-miR-2493-3p	1	0.39737393929984993	2.187988628287136
dme-miR-4985-3p	0		
dme-miR-1001-3p	0		
dme-miR-9383-3p	1	0.233971863995864	4.225441225441226
dme-miR-961-3p	2	0.4136935567822516	1.598910001472971
dme-miR-9377-3p	0		
dme-miR-961-5p	0		
dme-miR-4977-5p	2	0.5826305883662757	1.1126543209876543
dme-miR-957-5p	4	0.05747790259740962	3.970822281167109
dme-miR-1000-3p	1	0.41704820189212133	2.048955722639933
dme-miR-4982-5p	2	0.24181573668342993	2.493212669683258
dme-miR-1002-3p	0		
dme-miR-6-1-5p	0		
dme-miR-31a-3p	0		
dme-miR-31b-3p	0		
dme-miR-4955-3p	1	0.21147825095178596	4.750093248787766
dme-miR-1-5p	0		
dme-miR-979-5p	0		
dme-miR-309-5p	1	0.3997183098364597	2.1707231040564374
dme-miR-981-5p	0		
dme-miR-3645-3p	1	0.5470951328105638	1.37332408691632
dme-miR-4958-3p	1	0.14315822025026897	7.353142857142857
dme-miR-988-5p	1	0.47482606793831594	1.7052690898844745
dme-miR-927-3p	0		
dme-miR-1016-5p	3	0.05016884593732941	4.79835390946502
dme-miR-304-3p	0		
dme-miR-9b-3p	1	0.2416630268493033	4.068378812199037
dme-miR-2283-3p	3	0.014936526542493285	7.936659436008677
dme-miR-3644-3p	1	0.6806682622041798	0.9316841415465269
dme-miR-974-3p	2	0.1992801170531983	2.87008547008547
dme-miR-8-5p	1	0.45184219069926673	1.8318530784284208
dme-miR-9371-3p	2	0.23023789493345664	2.5856697819314642
dme-miR-4916-3p	3	0.11708988485456348	3.2263490520175013
dme-miR-993-5p	0		
dme-miR-9384-3p	2	0.32158268521734	1.9937910235941103
dme-miR-4949-3p	0		
dme-miR-966-5p	2	0.10114038867372055	4.498342541436464
dme-miR-9378-5p	1	0.2554311738648252	3.8107293550331525
dme-miR-9372-3p	0		
dme-miR-4979-5p	4	0.09152869204343946	3.2953503601833662
dme-miR-287-3p	0		
dme-miR-964-3p	4	0.015918724313332924	6.259546209186497
dme-miR-4963-5p	1	0.5894556512913245	1.2141305472225095
dme-miR-4984-3p	2	0.2913853438213386	2.1596351197263397
dme-miR-4944-3p	3	0.061697472789388697	4.375221238938053
dme-miR-2501-5p	1	0.7244901133797981	0.8171838407494145
dme-miR-314-5p	2	0.23802663397938206	2.5227520139342476
dme-miR-4917-3p	1	0.27682185304892465	3.460989010989011
dme-miR-2494-5p	0		
dme-miR-986-5p	0		
dme-miR-276a-3p	0		
dme-miR-276b-3p	0		
dme-miR-10-5p	1	0.0951568242632203	11.425044091710758
dme-miR-283-5p	1	0.61237419742303	1.1363237445148708
dme-miR-263a-5p	0		
dme-miR-314-3p	0		
dme-miR-985-3p	3	0.21520018813432212	2.3216035634743877
